Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,2020-01-27T23:59:00,1423,76,45
Guangdong,Mainland China,2020-01-27T23:59:00,151,,4
Zhejiang,Mainland China,2020-01-27T23:59:00,128,,1
Henan,Mainland China,2020-01-27T23:59:00,128,1,
Chongqing,Mainland China,2020-01-27T23:59:00,110,,
Hunan,Mainland China,2020-01-27T23:59:00,100,,
Beijing,Mainland China,2020-01-27T23:59:00,80,1,2
Shandong,Mainland China,2020-01-27T23:59:00,75,,
Jiangxi,Mainland China,2020-01-27T23:59:00,72,,2
Anhui,Mainland China,2020-01-27T23:59:00,70,,
Sichuan,Mainland China,2020-01-27T23:59:00,69,,
Fujian,Mainland China,2020-01-27T23:59:00,59,,
Shanghai,Mainland China,2020-01-27T23:59:00,53,1,3
Jiangsu,Mainland China,2020-01-27T23:59:00,47,,1
Guangxi,Mainland China,2020-01-27T23:59:00,46,,
Shaanxi,Mainland China,2020-01-27T23:59:00,35,,
Hainan,Mainland China,2020-01-27T23:59:00,33,1,
Liaoning,Mainland China,2020-01-27T23:59:00,27,,
Yunnan,Mainland China,2020-01-27T23:59:00,26,,
Tianjin,Mainland China,2020-01-27T23:59:00,23,,
Heilongjiang,Mainland China,2020-01-27T23:59:00,21,1,
Hebei,Mainland China,2020-01-27T23:59:00,18,1,
Gansu,Mainland China,2020-01-27T23:59:00,14,,
Shanxi,Mainland China,2020-01-27T23:59:00,13,,
Inner Mongolia,Mainland China,2020-01-27T23:59:00,11,,
Hong Kong,Hong Kong,2020-01-27T23:59:00,8,,
Guizhou,Mainland China,2020-01-27T23:59:00,7,,
Ningxia,Mainland China,2020-01-27T23:59:00,7,,
Jilin,Mainland China,2020-01-27T23:59:00,6,,
Macau,Macau,2020-01-27T23:59:00,6,,
Qinghai,Mainland China,2020-01-27T23:59:00,6,,
Taiwan,Taiwan,2020-01-27T23:59:00,5,,
Xinjiang,Mainland China,2020-01-27T23:59:00,5,,
Washington,US,2020-01-27T23:59:00,1,,
Illinois,US,2020-01-27T23:59:00,1,,
California,US,2020-01-27T23:59:00,2,,
Arizona,US,2020-01-27T23:59:00,1,,
,Japan,2020-01-27T23:59:00,4,,1
,Thailand,2020-01-27T23:59:00,8,,2
,South Korea,2020-01-27T23:59:00,4,,
,Singapore,2020-01-27T23:59:00,5,,
,Vietnam,2020-01-27T23:59:00,2,,
,France,2020-01-27T23:59:00,3,,
,Nepal,2020-01-27T23:59:00,1,,
,Malaysia,2020-01-27T23:59:00,4,,
Ontario,Canada,2020-01-27T23:59:00,1,,
,Cambodia,2020-01-27T23:59:00,1,,
,Sri Lanka,2020-01-27T23:59:00,1,,
,Ivory Coast,2020-01-27T23:59:00,1,,
New South Wales,Australia,2020-01-27T23:59:00,4,,
Victoria,Australia,2020-01-27T23:59:00,1,,
