Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,25/01/2020 17:00,761,40,32
Guangdong,Mainland China,25/01/2020 17:00,78,,2
Zhejiang,Mainland China,25/01/2020 17:00,62,,1
Chongqing,Mainland China,25/01/2020 17:00,57,,
Hunan,Mainland China,25/01/2020 17:00,43,,
Beijing,Mainland China,25/01/2020 17:00,41,,2
Anhui,Mainland China,25/01/2020 17:00,39,,
Shanghai,Mainland China,25/01/2020 17:00,33,,1
Henan,Mainland China,25/01/2020 17:00,32,,
Sichuan,Mainland China,25/01/2020 17:00,28,,
Shandong,Mainland China,25/01/2020 17:00,27,,
Guangxi,Mainland China,25/01/2020 17:00,23,,
Hainan,Mainland China,25/01/2020 17:00,19,,
Jiangxi,Mainland China,25/01/2020 17:00,18,,
Fujian,Mainland China,25/01/2020 17:00,18,,
Jiangsu,Mainland China,25/01/2020 17:00,18,,1
Liaoning,Mainland China,25/01/2020 17:00,17,,
Shaanxi,Mainland China,25/01/2020 17:00,15,,
Yunnan,Mainland China,25/01/2020 17:00,11,,
Tianjin,Mainland China,25/01/2020 17:00,10,,
Heilongjiang,Mainland China,25/01/2020 17:00,9,1,
Hebei,Mainland China,25/01/2020 17:00,8,1,
Inner Mongolia,Mainland China,25/01/2020 17:00,7,,
Shanxi,Mainland China,25/01/2020 17:00,6,,
Hong Kong,Hong Kong,25/01/2020 17:00,5,,
Guizhou,Mainland China,25/01/2020 17:00,4,,
Jilin,Mainland China,25/01/2020 17:00,4,,
Gansu,Mainland China,25/01/2020 17:00,4,,
Ningxia,Mainland China,25/01/2020 17:00,3,,
Taiwan,Taiwan,25/01/2020 17:00,3,,
Xinjiang,Mainland China,25/01/2020 17:00,3,,
Macau,Macau,25/01/2020 17:00,2,,
Qinghai,Mainland China,25/01/2020 17:00,1,,
Washington,US,25/01/2020 17:00,1,,
Illinois,US,25/01/2020 17:00,1,,
,Japan,25/01/2020 17:00,2,,
,Thailand,25/01/2020 17:00,7,,
,South Korea,25/01/2020 17:00,2,,
,Singapore,25/01/2020 17:00,3,,
,Vietnam,25/01/2020 17:00,2,,
,France,25/01/2020 17:00,3,,
,Australia,25/01/2020 17:00,4,,
,Nepal,25/01/2020 17:00,1,,
,Malaysia,25/01/2020 17:00,3,,
