Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Anhui,Mainland China,2020-01-23T17:00:00,9,,
Beijing,Mainland China,2020-01-23T17:00:00,22,,
Chongqing,Mainland China,2020-01-23T17:00:00,9,,
Fujian,Mainland China,2020-01-23T17:00:00,5,,
Gansu,Mainland China,2020-01-23T17:00:00,2,,
Guangdong,Mainland China,2020-01-23T17:00:00,32,,2
Guangxi,Mainland China,2020-01-23T17:00:00,5,,
Guizhou,Mainland China,2020-01-23T17:00:00,3,,
Hainan,Mainland China,2020-01-23T17:00:00,5,,
Hebei,Mainland China,2020-01-23T17:00:00,1,1,
Heilongjiang,Mainland China,2020-01-23T17:00:00,2,,
Henan,Mainland China,2020-01-23T17:00:00,5,,
Hong Kong,Hong Kong,2020-01-23T17:00:00,2,,
Hubei,Mainland China,2020-01-23T17:00:00,444,17,28
Hunan,Mainland China,2020-01-23T17:00:00,9,,
Inner Mongolia,Mainland China,2020-01-23T17:00:00,,,
Jiangsu,Mainland China,2020-01-23T17:00:00,5,,
Jiangxi,Mainland China,2020-01-23T17:00:00,7,,
Jilin,Mainland China,2020-01-23T17:00:00,1,,
Liaoning,Mainland China,2020-01-23T17:00:00,3,,
Macau,Macau,2020-01-23T17:00:00,2,,
Ningxia,Mainland China,2020-01-23T17:00:00,1,,
Qinghai,Mainland China,2020-01-23T17:00:00,,,
Shaanxi,Mainland China,2020-01-23T17:00:00,3,,
Shandong,Mainland China,2020-01-23T17:00:00,6,,
Shanghai,Mainland China,2020-01-23T17:00:00,16,,
Shanxi,Mainland China,2020-01-23T17:00:00,1,,
Sichuan,Mainland China,2020-01-23T17:00:00,8,,
Taiwan,Taiwan,2020-01-23T17:00:00,1,,
Tianjin,Mainland China,2020-01-23T17:00:00,4,,
Tibet,Mainland China,2020-01-23T17:00:00,,,
Washington,US,2020-01-23T17:00:00,1,,
Xinjiang,Mainland China,2020-01-23T17:00:00,2,,
Yunnan,Mainland China,2020-01-23T17:00:00,2,,
Zhejiang,Mainland China,2020-01-23T17:00:00,27,,
,Japan,2020-01-23T17:00:00,1,,
,Thailand,2020-01-23T17:00:00,3,,
,South Korea,2020-01-23T17:00:00,1,,
,Singapore,2020-01-23T17:00:00,1,,
,Philippines,2020-01-23T17:00:00,,,
,Malaysia,2020-01-23T17:00:00,,,
,Vietnam,2020-01-23T17:00:00,2,,
,Australia,2020-01-23T17:00:00,,,
,Mexico,2020-01-23T17:00:00,,,
,Brazil,2020-01-23T17:00:00,,,
,Colombia,2020-01-23T17:00:00,,,
