Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,26/01/2020 16:00,1058,52,42
Guangdong,Mainland China,26/01/2020 16:00,111,,2
Zhejiang,Mainland China,26/01/2020 16:00,104,,1
Henan,Mainland China,26/01/2020 16:00,83,1,
Chongqing,Mainland China,26/01/2020 16:00,75,,
Hunan,Mainland China,26/01/2020 16:00,69,,
Beijing,Mainland China,26/01/2020 16:00,68,,2
Anhui,Mainland China,26/01/2020 16:00,60,,
Shandong,Mainland China,26/01/2020 16:00,46,,
Sichuan,Mainland China,26/01/2020 16:00,44,,
Shanghai,Mainland China,26/01/2020 16:00,40,1,1
Guangxi,Mainland China,26/01/2020 16:00,36,,
Jiangxi,Mainland China,26/01/2020 16:00,36,,
Fujian,Mainland China,26/01/2020 16:00,35,,
Jiangsu,Mainland China,26/01/2020 16:00,33,,1
Hainan,Mainland China,26/01/2020 16:00,22,,
Shaanxi,Mainland China,26/01/2020 16:00,22,,
Liaoning,Mainland China,26/01/2020 16:00,21,,
Yunnan,Mainland China,26/01/2020 16:00,16,,
Heilongjiang,Mainland China,26/01/2020 16:00,15,1,
Tianjin,Mainland China,26/01/2020 16:00,14,,
Hebei,Mainland China,26/01/2020 16:00,13,1,
Shanxi,Mainland China,26/01/2020 16:00,9,,
Hong Kong,Hong Kong,26/01/2020 16:00,8,,
Inner Mongolia,Mainland China,26/01/2020 16:00,7,,
Gansu,Mainland China,26/01/2020 16:00,7,,
Guizhou,Mainland China,26/01/2020 16:00,5,,
Macau,Macau,26/01/2020 16:00,5,,
Ningxia,Mainland China,26/01/2020 16:00,4,,
Jilin,Mainland China,26/01/2020 16:00,4,,
Taiwan,Taiwan,26/01/2020 16:00,4,,
Xinjiang,Mainland China,26/01/2020 16:00,4,,
Qinghai,Mainland China,26/01/2020 16:00,1,,
Washington,US,26/01/2020 16:00,1,,
Illinois,US,26/01/2020 16:00,1,,
California,US,26/01/2020 16:00,2,,
Arizona,US,26/01/2020 16:00,1,,
,Japan,26/01/2020 16:00,4,,1
,Thailand,26/01/2020 16:00,8,,2
,South Korea,26/01/2020 16:00,3,,
,Singapore,26/01/2020 16:00,4,,
,Vietnam,26/01/2020 16:00,2,,
,France,26/01/2020 16:00,3,,
,Australia,26/01/2020 16:00,4,,
,Nepal,26/01/2020 16:00,1,,
,Malaysia,26/01/2020 16:00,4,,
Ontario,Canada,26/01/2020 16:00,1,,
