Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Anhui,Mainland China,22/01/2020 17:00,1,,
Beijing,Mainland China,22/01/2020 17:00,14,,
Chongqing,Mainland China,22/01/2020 17:00,6,,
Fujian,Mainland China,22/01/2020 17:00,1,,
Gansu,Mainland China,22/01/2020 17:00,,,
Guangdong,Mainland China,22/01/2020 17:00,26,,
Guangxi,Mainland China,22/01/2020 17:00,2,,
Guizhou,Mainland China,22/01/2020 17:00,1,,
Hainan,Mainland China,22/01/2020 17:00,4,,
Hebei,Mainland China,22/01/2020 17:00,1,,
Heilongjiang,Mainland China,22/01/2020 17:00,,,
Henan,Mainland China,22/01/2020 17:00,5,,
Hong Kong,Hong Kong,22/01/2020 17:00,,,
Hubei,Mainland China,22/01/2020 17:00,444,17,28
Hunan,Mainland China,22/01/2020 17:00,4,,
Inner Mongolia,Mainland China,22/01/2020 17:00,,,
Jiangsu,Mainland China,22/01/2020 17:00,1,,
Jiangxi,Mainland China,22/01/2020 17:00,2,,
Jilin,Mainland China,22/01/2020 17:00,,,
Liaoning,Mainland China,22/01/2020 17:00,2,,
Macau,Macau,22/01/2020 17:00,1,,
Ningxia,Mainland China,22/01/2020 17:00,1,,
Qinghai,Mainland China,22/01/2020 17:00,,,
Shaanxi,Mainland China,22/01/2020 17:00,,,
Shandong,Mainland China,22/01/2020 17:00,2,,
Shanghai,Mainland China,22/01/2020 17:00,9,,
Shanxi,Mainland China,22/01/2020 17:00,1,,
Sichuan,Mainland China,22/01/2020 17:00,5,,
Taiwan,Taiwan,22/01/2020 17:00,1,,
Tianjin,Mainland China,22/01/2020 17:00,4,,
Tibet,Mainland China,22/01/2020 17:00,,,
Washington,US,22/01/2020 17:00,1,,
Xinjiang,Mainland China,22/01/2020 17:00,,,
Yunnan,Mainland China,22/01/2020 17:00,1,,
Zhejiang,Mainland China,22/01/2020 17:00,10,,
,Japan,22/01/2020 17:00,2,,
,Thailand,22/01/2020 17:00,2,,
,South Korea,22/01/2020 17:00,1,,
